age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,capital-gain_log,capital-loss_log
39,State-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,7.684783943522785,0.0
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,0.0,0.0
38,Private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,0.0,0.0
53,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,0.0,0.0
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,0.0,0.0
37,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,0.0,0.0
49,Private,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,0.0,0.0
52,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0.0,0.0
31,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,9.552865680310473,0.0
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,8.552367266423891,0.0
37,Private,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,0.0,0.0
30,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,0.0,0.0
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,0.0,0.0
32,Private,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,0.0,0.0
40,Private,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Unknown,>50K,0.0,0.0
34,Private,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,0.0,0.0
25,Self-emp-not-inc,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,0.0,0.0
32,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,0.0,0.0
38,Private,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,0.0,0.0
43,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,0.0,0.0
40,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.0,0.0
54,Private,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,0.0,0.0
35,Federal-gov,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,United-States,<=50K,0.0,0.0
43,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,0.0,7.622174594817622
59,Private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,0.0,0.0
56,Local-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,0.0,0.0
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
54,Unknown,10,Married-civ-spouse,Unknown,Husband,Asian-Pac-Islander,Male,60,South,>50K,0.0,0.0
39,Private,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,<=50K,0.0,0.0
49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.0,0.0
23,Local-gov,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,<=50K,0.0,0.0
20,Private,10,Never-married,Sales,Own-child,Black,Male,44,United-States,<=50K,0.0,0.0
45,Private,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,0.0,7.25063551189868
30,Federal-gov,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
22,State-gov,10,Married-civ-spouse,Other-service,Husband,Black,Male,15,United-States,<=50K,0.0,0.0
48,Private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,<=50K,0.0,0.0
21,Private,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,0.0,0.0
19,Private,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,0.0,0.0
31,Private,10,Married-civ-spouse,Sales,Husband,White,Male,38,Unknown,>50K,0.0,0.0
48,Self-emp-not-inc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.0,0.0
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,43,United-States,<=50K,0.0,0.0
53,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,0.0,0.0
24,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,<=50K,0.0,0.0
49,Private,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,0.0,0.0
25,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,<=50K,0.0,0.0
57,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,United-States,>50K,0.0,0.0
53,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38,United-States,<=50K,0.0,0.0
44,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,0.0,0.0
41,State-gov,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,0.0,0.0
29,Private,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,<=50K,0.0,0.0
25,Private,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,40,United-States,<=50K,0.0,0.0
18,Private,9,Never-married,Other-service,Own-child,White,Female,30,Unknown,<=50K,0.0,0.0
47,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,Honduras,>50K,0.0,7.551186867296149
50,Federal-gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,>50K,0.0,0.0
47,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,0.0,0.0
