age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,is_senior,capital-gain_log,capital-loss_log,education_per_age,work_gain_ratio,is_married,gender_role,age_group,income
33,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.2727272727272727,60.0,1,Male_Husband,25–35,0
59,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,50,United-States,0,9.617470759403409,0.0,0.1694915254237288,530.8735379701704,1,Male_Husband,55–65,1
80,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,1,0.0,0.0,0.05,30.0,1,Male_Husband,65+,0
33,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1740,25,United-States,0,0.0,7.462214939768189,0.2727272727272727,25.0,1,Female_Wife,25–35,0
39,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,8614,0,52,United-States,0,9.06126014896203,0.0,0.358974358974359,523.1855277460255,0,Male_Not-in-family,35–45,1
36,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,38,United-States,0,0.0,0.0,0.25,38.0,0,Female_Unmarried,35–45,0
57,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,80,United-States,0,0.0,0.0,0.24561403508771928,80.0,0,Male_Not-in-family,55–65,0
26,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0.0,0.0,0.3076923076923077,40.0,1,Male_Husband,25–35,0
51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.17647058823529413,60.0,1,Male_Husband,45–55,0
47,Private,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,0,0.0,0.0,0.14893617021276595,40.0,0,Female_Unmarried,45–55,0
24,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0.0,0.0,0.5416666666666666,40.0,0,Female_Not-in-family,<25,0
46,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,United-States,0,0.0,0.0,0.21739130434782608,60.0,1,Male_Husband,45–55,0
88,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,0.0,0.0,0.17045454545454544,40.0,1,Male_Husband,65+,0
21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,Germany,0,0.0,0.0,0.47619047619047616,10.0,0,Female_Own-child,<25,0
18,Private,HS-grad,9,Married-spouse-absent,Other-service,Own-child,Black,Male,0,0,40,Jamaica,0,0.0,0.0,0.5,40.0,1,Male_Own-child,<25,0
38,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0,0.0,0.0,0.23684210526315788,40.0,0,Female_Own-child,35–45,0
47,Self-emp-inc,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,27828,0,50,United-States,0,10.233833921427351,0.0,0.3191489361702128,561.6916960713676,0,Male_Not-in-family,45–55,1
42,Self-emp-inc,1st-4th,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0,0.0,0.0,0.047619047619047616,60.0,1,Male_Husband,35–45,0
27,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,0.0,0.0,0.3333333333333333,40.0,0,Male_Own-child,25–35,0
43,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,Mexico,0,8.895492631451633,0.0,0.23255813953488372,494.77463157258165,1,Male_Husband,35–45,1
